157865012,1418019,26752088,1291583,1291560,1291561,1308807,1291546,26387939,21937445,1291828
58766653,1418019,26752088,1291560,1291561,26387939,21937445,1292213,1291583,1307914,3742360
126980247,1418019,26752088,1299398,1291546,5912992,6786002,1292213,1292365,1293839,2131459
72626968,1299398,1292213,1291546,1291858,3742360,26387939,21937445,1307914,3793023,21937452
131371214,1418019,1299398,1292213,1291583,26752088,1291546,1291560,1308807,1291561,6786002
145790989,1418019,26752088,1292213,1291560,21937445,1299398,3793023,26387939,1291858,3742360
156222271,1418019,26752088,1291560,1291583,1291561,1308807,6786002,5912992,1291828,1929463
155603461,1418019,1291583,1292213,1291560,26752088,1299398,1291561,1308807,1291858,1929463
52269752,1418019,26752088,1299398,1292213,5912992,1291546,30170448,1900841,1292063,3793023
love921054,26752088,1418019,1291546,2129039,1291828,1900841,1291572,1292365,1292000,1291841
151375983,26752088,5912992,3742360,3793023,1291858,21937445,1299398,1307914,2131459,1291572
131693056,1418019,26752088,26387939,21937445,3742360,1307914,5912992,1296141,1900841,1291858
154039834,1299398,26752088,1291546,1291858,1292213,26387939,5912992,3793023,1307914,1291818
174051092,1299398,1418019,1291546,26752088,1292213,1291858,26387939,1292365,21937445,3793023
151769944,1418019,26752088,1291560,1292213,26387939,1299398,21937445,1291561,1291583,1307914
127082811,1418019,26752088,1299398,1292213,5912992,6786002,1291858,21937452,1291828,1291843
131023951,1418019,26752088,1291583,1292213,1291560,1291561,1308807,1293350,1299398,1291858
159286549,1299398,1292213,1291546,26752088,1418019,21937452,21937445,1291552,1291572,2131459
159467414,1418019,1291546,26752088,1299398,1292365,1292213,1296141,6786002,1300267,1291549
158195982,26752088,26387939,21937445,1307914,3793023,3742360,5912992,1296141,1291572,1293350
161011867,1299398,1418019,1292213,1291546,26752088,1291858,5912992,26387939,3742360,1307914
155606228,1418019,26752088,1291560,1291583,1291561,1291858,1308807,1291546,20495023,2131459
7509548,1418019,1299398,1291546,1292213,26752088,1291858,1291560,3742360,26387939,1292365
167647646,26752088,1418019,5912992,21937445,1900841,1291858,1291818,1296141,20495023,1293172
151268747,1299398,26752088,1291546,1292213,1291858,1418019,1292365,1291583,1296141,2131459
68629412,26752088,26387939,1291818,21937445,1929463,1291572,1900841,1291552,1291571,1293350
159952408,1299398,26752088,1292213,1291858,5912992,1291546,1418019,3742360,1929463,26387939
159269744,1418019,1291560,1291583,1291858,1291561,26752088,1308807,1291828,3742360,1292365
147353927,26752088,5912992,3742360,1291546,1291858,3793023,26387939,1307914,1291572,1291843
161254866,1418019,26752088,1291560,1291583,1291561,1292213,1308807,5912992,1900841,1299398
155602622,26752088,1418019,1291828,26387939,1291560,1291858,3793023,1929463,1291572,1291552
